,linking_rate,synonyms_rate,emb_axis_37,emb_axis_66
OCM17,1.0,0.0,1.2461727,0.79796326
LOR04,0.5,0.0,1.5554378,-0.26587835
LOR01,0.4,0.0,0.52103937,-0.788489
BRE09,0.4,0.0002903178980984,1.5879719,-0.9354494
BOD03,0.25,0.0,0.7965451,-1.7553054
LOR09,0.6666666666666666,0.0,1.0599692,-0.073698506
PES09,1.0,0.0,0.21236837,1.2762648
BRE04,0.3333333333333333,0.0,0.72657305,0.9090891
CFE05,0.4,0.0,1.3864936,-0.6480856
NOR02,0.2,0.0,1.0349689,0.7110489
OCM16,0.5,0.0,0.73538315,0.81408495
BFC01,0.2,0.0,1.0796546,-0.91546834
BFC02,0.1666666666666666,0.0,0.95736,0.72217095
LYO13,0.0666666666666666,0.0,-0.5982544,0.0704865
GRE12,1.0,0.0,0.81676704,1.5357462
CFE06,0.5,0.0,0.86492306,-0.016196905
HES01,0.5,0.0,0.66125834,-1.2139478
UPS08,0.2,0.0,0.6861972,0.95214194
BRE13,1.0,0.0,1.0710485,-0.39179453
UPS11,0.3333333333333333,0.0,1.7581843,-0.40538168
LYO07,0.4,0.0,0.81152564,1.1613547
OCM18,0.5,0.0002834467120181,0.79364395,0.15057455
HES08,0.6666666666666666,0.0,-0.11017596,0.5808952
BOD11,1.0,0.0,0.6427444,0.3811034
BRE12,0.3333333333333333,0.0002974419988102,1.8052388,-1.3597012
BOD06,1.0,0.0,0.65440446,1.0197607
GRE03,0.125,0.0,1.305267,-0.333481
LRE07,1.0,0.0002834467120181,1.6005985,-0.6981151
POF01,0.2,0.0,1.3045928,-0.77652866
GRE11,0.2222222222222222,0.0,1.0913799,0.758652
GRE13,0.5,0.0,1.2938869,0.89864606
GRE09,0.125,0.0,1.349143,0.33167377
LDV08,0.5,0.0003373250126496,1.5548022,-0.50485736
BRE02,0.5,0.0005374899220639,1.7908676,1.8303878
PES03,1.0,0.0,1.4146435,0.27516317
PES01,0.5,0.0,1.336122,0.55114895
NOR11,1.0,0.0,1.4700406,0.19247104
LRE01,0.4,0.0003753049352598,0.71202946,-0.042367846
