feature,spearman,pearson
Segment,,
WC,0.018449549240511526,0.041642140737891485
WPS,0.007848896501375484,0.027092155079550914
BigWords,-0.11635790651352657,-0.08679390550923402
emopos,0.06853731451352968,0.04213062846319086
emoneg,0.10082479844529742,0.11593128843179562
anxiete,-0.03912451302170564,-0.009550860672241323
colère,0.07933795510013018,0.040927056724906555
tristesse,0.08798922789919061,0.1288396960534088
cognition,0.04175293448851987,0.03822093654416961
perspicacite,-0.030425065238591686,-0.07975448426005638
cause,-0.00347948544907016,-0.02074531762344677
divergence,0.07056084580183898,0.06999885021764156
tentative,0.056804717606526334,0.07168302159839458
certitude,0.10106863308520829,0.08190841413611795
inhibition,0.011896282168157132,-0.01634012898136055
inclusion,-0.014888866676398533,-0.017735272287206186
exclusion,0.10689267334554196,0.12034924155458537
perception,-0.07315045413551173,-0.06046078422815195
remplisseur,,
conjunctToSent,0.08739204806109367,0.028965694916264287
conjunctTypesToSent,0.07341423848001792,0.018958107982906425
conjunctToWords,0.07201526417051066,0.051754918234791406
conjunctNum,0.09286385525922237,0.08210026445721248
conjunctTypesToTotal,8.097300661232821e-05,0.021629944604076076
conjunctNeighborSent,0.040326295165189374,0.033623086522931014
synonymToNouns,-0.12938973132904275,-0.11301977952604801
synonymToVerbs,-0.05502533833758197,-0.05146536032939391
averageSynClassNOUN,0.12938973132904275,0.10964901759714452
averageSynClassVERB,0.05502533833758197,0.053199381070031346
localNounOverlapCount,,
localArgumentOverlapCount,-0.1115976378057698,-0.10700139021443578
localStemOverlapCount,-0.07938616579730337,-0.08451292812296315
localContentWordOverlap,0.07136793595324764,-0.07594326417347302
globalNounOverlapCount,,
globalArgumentOverlapCount,-0.025488659022101935,-0.020198552252502288
globalStemOverlapCount,0.0021847494855411253,-0.0015021048176769123
globalContentWordOverlap,0.038111397968708854,-0.002169057098399881
POS_numNouns,-0.02200914471202223,0.015672848485317567
POS_numProperNouns,-0.006392400243388281,0.055136956506536716
POS_numPronouns,-0.09531936599264369,-0.10668600733530276
POS_numConjunct,0.08569010132777274,0.05596131699518107
POS_numAdjectives,0.06214371603383908,0.07050746126326776
POS_numVerbs,-0.16806281252383018,-0.13719785789735445
POS_numAdverbs,0.17526429011416575,0.15801708312431303
POS_numModals,,
POS_numPrepositions,-0.014807662589610289,0.012818869442301237
POS_numInterjections,0.024646918276584988,0.04796849648728025
POS_numPerPronouns,-0.09531936599264369,-0.10668600733530276
POS_numWhPronouns,,
POS_numLexicals,0.07185340816153353,0.08741513989450148
POS_numFunctionWords,0.10745677065965627,0.060825218389075494
POS_numDeterminers,-0.07735579933016734,-0.0781463938119387
POS_numVerbsVB,-0.10575735326833548,-0.08489352155926674
POS_numVerbsVBG,,
POS_numVerbsVBN,-0.11214972580712546,-0.1172745717227803
POS_numVerbsVBP,,
POS_numVerbsVBZ,,
POS_advVar,0.18109000840710815,0.15898313976643622
POS_adjVar,0.04466575122671337,0.059001814759509066
POS_modVar,0.18812988858051316,0.1696390203730657
POS_nounVar,-0.04409932301277381,-0.022938387985126752
POS_verbVar1,-0.09718338859425416,-0.10698666006768168
POS_verbVar2,-0.18165787389036392,-0.1691908672206252
POS_squaredVerbVar1,-0.06416717966043825,-0.07276932880355563
POS_correctedVV1,-0.06416717966043825,-0.07778229997778364
DISC_RefExprPronounsPerNoun,-0.07492901553278176,-0.09986322454589776
DISC_RefExprPronounsPerSen,-0.1012350628828983,-0.022550646169132906
DISC_RefExprPronounsPerWord,-0.10276359430783692,-0.11124562102708806
DISC_RefExprPerPronounsPerSen,-0.1012350628828983,-0.022550646169132906
DISC_RefExprPerProPerWord,-0.10276359430783692,-0.11124562102708806
DISC_RefExprPossProPerSen,,
DISC_RefExprPossProPerWord,,
DISC_RefExprDefArtPerSen,,
DISC_RefExprDefArtPerWord,,
DISC_RefExprProperNounsPerNoun,0.006068805222609361,0.060421329951898146
TTR,0.008010806869340865,-0.018065458780897544
CorrectedTTR,0.06368178382515631,0.048831312865735846
RootTTR,0.06368178382515631,0.0488313128657371
BilogTTR,0.08795692378391982,0.06464628515215462
MTLD,0.05534648876984471,0.03507847839041684
